Date,ENSO,ENSO_filtered,IOD,IOD_filtered,PDO,PDO_filtered,IPO,IPO_filtered
1900-01-01,1.41,,-0.469,,0.909,,1.551,
1900-02-01,1.29,,-0.293,,0.395,,1.366,
1900-03-01,0.99,,-0.464,,0.797,,1.249,
1900-04-01,0.66,,-0.319,,1.735,,0.996,
1900-05-01,0.54,,-0.159,,1.276,,0.855,
1900-06-01,0.76,,-0.042,,1.003,,0.977,
1900-07-01,0.75,,-0.319,,1.005,,1.019,
1900-08-01,0.78,,-0.49,,1.246,,0.896,
1900-09-01,0.56,,-0.538,,-0.23,,0.738,
1900-10-01,0.42,,-0.429,,0.122,,0.607,
1900-11-01,0.14,,-0.196,,0.657,,0.435,
1900-12-01,0.6,,-0.633,,0.651,,1.126,
1901-01-01,0.82,,-0.54,,1.146,,0.905,
1901-02-01,0.29,,-0.868,,0.671,,0.625,
1901-03-01,0.05,,-0.72,,-0.317,,0.452,
1901-04-01,-0.13,,-0.514,,-0.437,,0.205,
1901-05-01,-0.19,,-0.553,,-1.034,,0.03,
1901-06-01,-0.26,,-0.618,,-1.072,,-0.013,
1901-07-01,-0.3,,-0.713,,-1.138,,0.193,
1901-08-01,-0.38,,-0.825,,-0.466,,0.179,
1901-09-01,-0.3,,-1.029,,0.092,,0.026,
1901-10-01,-0.31,,-0.774,,0.227,,0.224,
1901-11-01,-0.39,,-0.741,,0.074,,0.353,
1901-12-01,-0.35,,-0.681,,0.327,,0.414,
1902-01-01,-0.5,,-0.473,,1.098,,0.275,
1902-02-01,-0.26,,-0.453,,0.44,,0.433,
1902-03-01,-0.27,,-0.251,,0.3,,0.405,
1902-04-01,0.2,,0.051,,0.382,,1.114,
1902-05-01,0.47,,-0.042,,1.002,,1.062,
1902-06-01,0.77,,-0.09,,1.967,,1.466,
1902-07-01,1.44,,-0.07,,2.492,,1.807,
1902-08-01,1.21,,0.333,,1.593,,1.499,
1902-09-01,1.44,,0.209,,0.965,,1.38,
1902-10-01,1.4,,-0.238,,1.035,,1.621,
1902-11-01,1.54,,-0.047,,0.465,,1.633,
1902-12-01,1.39,,-0.266,,0.227,,1.282,
1903-01-01,1.33,,-0.479,,-0.038,,1.269,
1903-02-01,0.93,,-0.571,,0.116,,0.885,
1903-03-01,0.79,,-0.364,,-0.135,,1.015,
1903-04-01,0.36,,-0.628,,-0.934,,0.537,
1903-05-01,-0.1,,-0.267,,-0.403,,0.409,
1903-06-01,0.29,,-0.335,,-0.063,,0.722,
1903-07-01,-0.49,,-0.614,,1.302,,0.348,
1903-08-01,-0.32,,-0.452,,1.152,,0.465,
1903-09-01,-0.6,,-0.69,,0.601,,0.318,
1903-10-01,-0.42,,-1.036,,0.466,,-0.146,
1903-11-01,-0.76,,-0.628,,-0.187,,-0.338,
1903-12-01,-1.02,,-0.441,,-0.017,,-0.176,
1904-01-01,-0.73,,-0.219,,0.915,,-0.343,
1904-02-01,-0.79,,-0.234,,0.262,,-0.368,
1904-03-01,-0.85,,-0.219,,0.55,,-0.227,
1904-04-01,-0.72,,-0.029,,0.108,,-0.152,
1904-05-01,-0.4,,-0.258,,0.339,,0.047,
1904-06-01,0.14,,-0.286,,-0.123,,0.531,
1904-07-01,0.75,,-0.287,,0.056,,0.863,
1904-08-01,0.54,,-0.413,,1.556,,1.045,
1904-09-01,0.01,,-0.678,,1.992,,0.642,
1904-10-01,0.91,,-0.237,,1.767,,1.003,
1904-11-01,0.15,,-0.353,,1.659,,0.713,
1904-12-01,0.86,,-0.644,,2.808,,1.311,
1905-01-01,0.68,0.03603305785123967,-0.601,-0.4680826446280992,2.479,0.47011570247933887,1.126,0.4013801652892562
1905-02-01,0.72,0.019090909090909096,-0.372,-0.465603305785124,1.301,0.45302479338842977,1.209,0.3843884297520661
1905-03-01,0.92,0.0019008264462809952,-0.472,-0.4672231404958678,0.584,0.4418347107438016,1.486,0.3686363636363636
1905-04-01,0.29,-0.015950413223140492,-0.468,-0.46664462809917356,1.684,0.41906611570247937,0.985,0.3519338842975207
1905-05-01,1.08,-0.033057851239669415,-0.205,-0.468396694214876,1.252,0.38716528925619836,1.52,0.3347768595041323
1905-06-01,0.59,-0.046115702479338834,-0.447,-0.47088429752066113,1.393,0.37369421487603305,1.173,0.3190247933884297
1905-07-01,0.82,-0.0596694214876033,-0.275,-0.479099173553719,2.093,0.36513223140495865,1.228,0.3052066115702479
1905-08-01,1.04,-0.07330578512396693,-0.22,-0.4832479338842975,2.066,0.3527438016528926,1.698,0.28939669421487607
1905-09-01,1.42,-0.09041322314049588,0.024,-0.4876446280991736,1.798,0.3486776859504132,1.573,0.27183471074380167
1905-10-01,1.12,-0.1028099173553719,-0.462,-0.49190082644628097,-0.218,0.3426776859504132,1.249,0.25769421487603306
1905-11-01,0.83,-0.11066115702479337,-0.436,-0.4939917355371901,0.565,0.3364380165289256,1.399,0.248396694214876
1905-12-01,1.17,-0.11710743801652893,-0.56,-0.4948181818181818,-0.99,0.33022314049586776,1.167,0.24174380165289255
1906-01-01,0.89,-0.12677685950413223,-0.605,-0.4911900826446281,1.175,0.32038016528925617,1.089,0.2302892561983471
1906-02-01,0.67,-0.1383471074380165,-0.485,-0.4907438016528926,1.218,0.3015785123966942,1.041,0.22047933884297521
1906-03-01,0.8,-0.14752066115702478,-0.51,-0.48964462809917353,0.566,0.2856280991735537,1.278,0.21226446280991737
1906-04-01,0.45,-0.1571074380165289,-0.788,-0.4898429752066116,0.512,0.28315702479338845,1.055,0.2029090909090909
1906-05-01,0.02,-0.1647107438016529,-0.425,-0.489198347107438,1.274,0.28131404958677686,0.703,0.19447933884297522
1906-06-01,0.15,-0.16842975206611568,-0.39,-0.49135537190082645,0.719,0.27873553719008265,0.48,0.19008264462809918
1906-07-01,-0.49,-0.168099173553719,-0.986,-0.49264462809917353,1.331,0.28459504132231406,-0.14,0.1890495867768595
1906-08-01,-0.37,-0.16793388429752065,-1.085,-0.491595041322314,0.919,0.2951570247933884,-0.208,0.1850413223140496
1906-09-01,-0.81,-0.16297520661157025,-1.634,-0.4892727272727273,0.188,0.2983140495867769,-0.881,0.18460330578512396
1906-10-01,-0.87,-0.1588429752066116,-1.012,-0.486297520661157,1.005,0.2966694214876033,-0.586,0.18544628099173555
1906-11-01,-0.33,-0.14933884297520658,-0.794,-0.48179338842975206,0.629,0.29207438016528925,0.323,0.19119834710743802
1906-12-01,-0.51,-0.1381818181818182,-0.349,-0.47693388429752065,-0.577,0.28437190082644626,-0.062,0.19770247933884297
1907-01-01,-0.57,-0.12247933884297521,-0.37,-0.47338842975206613,-0.65,0.2791900826446281,-0.39,0.20479338842975203
1907-02-01,-0.41,-0.11148760330578512,-0.185,-0.4719752066115703,-0.477,0.27084297520661155,-0.028,0.20993388429752066
