date,original,interannual,interdecadal
1900-01-01,-0.469,-0.05408212204969037,-0.41491787936779023
1900-02-01,-0.293,0.1255161444457159,-0.4185161459621181
1900-03-01,-0.464,-0.042120719195181844,-0.42187928242253764
1900-04-01,-0.319,0.10600405356117798,-0.42500405528242924
1900-05-01,-0.159,0.26888805919474723,-0.4278880610215612
1900-06-01,-0.042,0.38852973431720494,-0.4305297362514279
1900-07-01,-0.319,0.11392836247728794,-0.4329283645205798
1900-08-01,-0.49,-0.054915922451248864,-0.4350840797025854
1900-09-01,-0.538,-0.10100213632035229,-0.43699786594530926
1900-10-01,-0.429,0.009671551797768931,-0.43867155417635273
1900-11-01,-0.196,0.24410781268329207,-0.44010781517570524
1900-12-01,-0.633,-0.191689853364142,-0.4413101492428218
1901-01-01,-0.54,-0.09771713022065445,-0.44228287250140275
1901-02-01,-0.868,-0.424968902936501,-0.4430310999010189
1901-03-01,-0.72,-0.27643927796287326,-0.44356072499032057
1901-04-01,-0.514,-0.07012160651713178,-0.44387839655180517
1901-05-01,-0.553,-0.10900851098171964,-0.4439914922029117
1901-06-01,-0.618,-0.17409191421772516,-0.4439080890824652
1901-07-01,-0.713,-0.269363071660436,-0.4436369317551279
1901-08-01,-0.825,-0.38181260605131545,-0.4431873974794275
1901-09-01,-1.029,-0.586430544648717,-0.44256945899704536
1901-10-01,-0.774,-0.3322063587484362,-0.44179364501226726
1901-11-01,-0.741,-0.3001290053349419,-0.44087099854074646
1901-12-01,-0.681,-0.24118697067495232,-0.4398130333159278
1902-01-01,-0.473,-0.03436831565691434,-0.43863168844956035
1902-02-01,-0.453,-0.01566072267306809,-0.43733928154962476
1902-03-01,-0.251,0.1849484561649009,-0.43594846050467034
1902-04-01,0.051,0.48547214969002117,-0.43447215414796303
1902-05-01,-0.042,0.39092351744052506,-0.43292352201796436
1902-06-01,-0.09,0.34131589873501766,-0.43131590343349363
1902-07-01,-0.07,0.3596627612812407,-0.42966276610247905
1902-08-01,0.333,0.760977649536637,-0.42797765448251285
1902-09-01,0.209,0.6352741330370403,-0.42627413810953074
1902-10-01,-0.238,0.18656575490676364,-0.42456576010789876
1902-11-01,-0.047,0.37586598075926636,-0.42286598609107756
1902-12-01,-0.266,0.15518814819246268,-0.4211881536569278
1903-01-01,-0.479,-0.05945458292329864,-0.4195454226756972
1903-02-01,-0.571,-0.15304927917337618,-0.41795072656188376
1903-03-01,-0.364,0.052416718840501086,-0.4164167247135815
1903-04-01,-0.628,-0.21304424971757535,-0.4149557562946743
1903-05-01,-0.267,0.14657978937388677,-0.4135797955264262
1903-06-01,-0.335,0.0773004023520047,-0.4123004086457037
1903-07-01,-0.614,-0.20287129375814275,-0.4111287126773226
1903-08-01,-0.452,-0.041924670419662274,-0.41007533615790526
1903-09-01,-0.69,-0.2808496247815042,-0.4091503819382272
1903-10-01,-1.036,-0.6276366146813135,-0.40836339218037754
1903-11-01,-0.628,-0.2202766913479819,-0.40772331565521014
1903-12-01,-0.441,-0.033761529709425336,-0.40723847743456515
1904-01-01,-0.219,0.18791654377778522,-0.40691655106164165
1904-02-01,-0.234,0.17276452584916946,-0.40676453327174017
1904-03-01,-0.219,0.18778871376448486,-0.4067887213244077
1904-04-01,-0.029,0.37799468530114766,-0.40699469299685326
1904-05-01,-0.258,0.14938728144768504,-0.4073872892773952
1904-06-01,-0.286,0.12197059182497794,-0.40797059978670175
1904-07-01,-0.287,0.12174794285221607,-0.4087479509437398
1904-08-01,-0.413,-0.003278111336179994,-0.40972189688269545
1904-09-01,-0.678,-0.2671057952268036,-0.4108942131167293
1904-10-01,-0.237,0.17526588446907432,-0.41226589293431337
1904-11-01,-0.353,0.06083713792039681,-0.4138371465041192
1904-12-01,-0.644,-0.22839260604368142,-0.4156074026550202
1905-01-01,-0.601,-0.18342469552110952,-0.41757531328877406
