,Nino3.4,Nino3.4 Highpass (<8 years),Nino3.4 Lowpass (>8 years),DMI,DMI Highpass (<8 years),DMI Lowpass (>8 years)
1900-01-15,1.41,-0.11334325257781552,1.534614458747479,-0.469,-0.145914497124543,-0.31910716928555927
1900-02-15,1.29,-0.22638669169654824,1.5290402324159813,-0.293,0.03078724486479532,-0.31928571990729104
1900-03-15,0.99,-0.519426236465051,1.523466033676287,-0.464,-0.13951027660222054,-0.31946354436712865
1900-04-15,0.66,-0.8424619783231182,1.5178919246421043,-0.319,0.006192923845332515,-0.3196406391993508
1900-05-15,0.54,-0.9554940089160389,1.5123179674179492,-0.159,0.16689683151055182,-0.31981700095097654
1900-06-15,0.76,-0.7285224200928926,1.5067442240976354,-0.042,0.2846014316288783,-0.3199926261818554
1900-07-15,0.75,-0.7315473039048397,1.5011707567627641,-0.319,0.008306709368266857,-0.3201675114647574
1900-08-15,0.78,-0.6945687526034088,1.4955976274812133,-0.49,-0.16198735017063984,-0.3203416533854623
1900-09-15,0.56,-0.9075868586387768,1.490024898305626,-0.538,-0.20928076195433698,-0.3205150485428493
1900-10-15,0.42,-1.0406017146580369,1.484452631271901,-0.429,-0.09957354101627874,-0.3206876935489863
1900-11-15,0.14,-1.3136134135034672,1.478880888397684,-0.196,0.13413429754330175,-0.3208595850292185
1900-12-15,0.6,-0.8466220482107807,1.473309731680859,-0.633,-0.3021572614424245,-0.3210307196222565
1901-01-15,0.82,-0.6196277120073799,1.46773922309804,-0.54,-0.20844823320669545,-0.321201093980264
1901-02-15,0.29,-1.1426304983105955,1.4621694246030645,-0.868,-0.5357386330489722,-0.32137070476894525
1901-03-15,0.05,-1.3756305007259257,1.4566003981254885,-0.72,-0.3870284763347468,-0.3215395486676319
1901-04-15,-0.13,-1.5486278130452686,1.451032205569081,-0.514,-0.18031777849535274,-0.3217076223693697
1901-05-15,-0.19,-1.6016225292451436,1.445464908810322,-0.553,-0.21860655502776793,-0.3218749225810048
1901-06-15,-0.26,-1.6646147434849077,1.439898569696901,-0.618,-0.2828948214944175,-0.3220414460232698
1901-07-15,-0.3,-1.697604550104967,1.4343332500462167,-0.713,-0.377182593522974,-0.32220718943086857
1901-08-15,-0.38,-1.7705920436249754,1.4287690116438756,-0.825,-0.4884698868061535,-0.32237214955256144
1901-09-15,-0.3,-1.683577318742031,1.4232059162421948,-1.029,-0.6917567171015094,-0.32253632315124936
1901-10-15,-0.31,-1.6865604703288666,1.4176440255587033,-0.774,-0.436043100231226,-0.3226997070040579
1901-11-15,-0.39,-1.7595415934320413,1.412083401274645,-0.741,-0.40232905208190745,-0.3228622979024208
1901-12-15,-0.35,-1.7125207832701195,1.4065241050334847,-0.681,-0.3416145886043659,-0.3230240926521627
1902-01-15,-0.5,-1.8554981352318443,1.4009661984394124,-0.473,-0.13289972581340712,-0.3231850880735817
1902-02-15,-0.26,-1.6084737448742996,1.395409743055851,-0.453,-0.1121844797876145,-0.3233452810015319
1902-03-15,-0.27,-1.611447707921069,1.3898548004039655,-0.251,0.09053113333087301,-0.3235046682855053
1902-04-15,0.2,-1.1344201202603883,1.3843014319611737,0.051,0.3932470973365814,-0.3236632467897128
1902-05-15,0.47,-0.8573910779432965,1.3787496991596586,-0.042,0.3009633959609272,-0.3238210133931655
1902-06-15,0.77,-0.5503606771817745,1.3731996633848822,-0.09,0.25368001287244574,-0.32397796498975484
1902-07-15,1.44,0.1266709856531175,1.3676513859741024,-0.07,0.2743969316770206,-0.32413409848833263
1902-08-15,1.21,-0.09629618596688971,1.3621049282148907,0.333,0.6781141359181162,-0.3242894108127904
1902-09-15,1.44,0.14073771127460197,1.3565603513436506,0.209,0.5548316090770111,-0.32444389890213865
1902-10-15,1.4,0.1077725805405392,1.3510177165441415,-0.238,0.10854933457303831,-0.32459755971058557
1902-11-15,1.54,0.25480832484230787,1.3454770849460034,-0.047,0.3002672957638247,-0.32475039020761554
1902-12-15,1.39,0.11184484704162545,1.3399385176232825,-0.266,0.08198547594553159,-0.32490238737806665
1903-01-15,1.33,0.05888204985244244,1.3344020755929598,-0.479,-0.1302961416468984,-0.3250535482222078
1903-02-15,0.93,-0.33408016415715447,1.3288678198134796,-0.571,-0.22157757383949583,-0.32520386975581517
1903-03-15,0.79,-0.46704189256303086,1.3233358111832811,-0.364,-0.013858837519014932,-0.3253533490102488
1903-04-15,0.36,-0.8900032330830889,1.3178061105393337,-0.628,-0.2771399496326816,-0.3255019830325284
1903-05-15,-0.1,-1.342964283575345,1.3122787786556729,-0.267,0.08457907281206138,-0.3256497688854084
1903-06-15,0.29,-0.9459251420360022,1.3067538762419377,-0.335,0.01729821274781021,-0.32579670364745306
1903-07-15,-0.49,-1.7188859065975142,1.3012314639419116,-0.614,-0.26098254695253814,-0.32594278441311053
1903-08-15,-0.32,-1.5418466755266436,1.2957116023320627,-0.452,-0.09826322347552445,-0.32608800829278695
