,PC1,PC2
1950-01-16 11:59:00,6003.170208655179,-667.9734731218099
1950-02-16 11:59:00,5871.929908079546,-80.59386281162101
1950-03-16 11:59:00,5640.3122886116,-157.09146620253247
1950-04-16 11:59:00,5152.7974840367015,-597.14481321699
1950-05-16 11:59:00,4189.1484235008575,-999.6326244463634
1950-06-16 11:59:00,3746.242042532015,-2121.471752477772
1950-07-16 11:59:00,-936.6568844563901,-4986.480713017649
1950-08-16 11:59:00,340.48586717059067,-3791.6633510501065
1950-09-16 11:59:00,-548.0760200622088,-4146.310686568326
1950-10-16 11:59:00,84.93391651042924,-3370.1133501012023
1950-11-16 11:59:00,1337.8444264411073,-1629.5310298874624
1950-12-16 11:59:00,4778.993271616898,-761.5089980910835
1951-01-16 11:59:00,6003.162481184915,-667.8982583049823
1951-02-16 11:59:00,5871.965243042387,-80.66666140272565
1951-03-16 11:59:00,5640.383283833507,-157.08620778535794
1951-04-16 11:59:00,5152.840410623477,-597.0957526538753
1951-05-16 11:59:00,4189.148278286473,-999.5342486434255
1951-06-16 11:59:00,3746.200441566208,-2121.3928132215024
1951-07-16 11:59:00,-936.8426233677733,-4986.408659220441
1951-08-16 11:59:00,340.8300242040653,-3791.3505827209824
1951-09-16 11:59:00,-548.4930116574417,-4146.350584755645
1951-10-16 11:59:00,84.4846263112715,-3370.1171601789347
1951-11-16 11:59:00,1337.7228198478717,-1629.4143580027207
1951-12-16 11:59:00,4778.92096361133,-761.4312923439372
1952-01-16 11:59:00,6003.077050185499,-667.7832740258888
1952-02-16 11:59:00,5871.8206585583675,-80.76847496188071
1952-03-16 11:59:00,5640.253055206237,-157.09025830402877
1952-04-16 11:59:00,5152.685491825945,-597.1158359941364
1952-05-16 11:59:00,4189.0400852924795,-999.476861094205
1952-06-16 11:59:00,3746.14071039302,-2121.385333177892
1952-07-16 11:59:00,-936.7000814544585,-4986.45492558973
1952-08-16 11:59:00,340.68625773432905,-3791.5035823587305
1952-09-16 11:59:00,-547.9932730185011,-4146.238024738475
1952-10-16 11:59:00,85.06399967098804,-3369.9504971288907
1952-11-16 11:59:00,1337.6494167619983,-1629.4188674924658
1952-12-16 11:59:00,4778.944120924207,-761.4437298529606
1953-01-16 11:59:00,6154.263523211817,-703.5428705261631
1953-02-16 11:59:00,6274.439722469751,-142.26857717078383
1953-03-16 11:59:00,6226.405542800809,-184.0863405873077
1953-04-16 11:59:00,6363.290610428382,-723.3714677366792
1953-05-16 11:59:00,5278.968842355393,-1389.8991498670055
1953-06-16 11:59:00,4146.262172014986,-2704.3041132424005
1953-07-16 11:59:00,-1124.3543235483498,-5111.432161772612
1953-08-16 11:59:00,-456.7656109647377,-4641.003099045823
1953-09-16 11:59:00,-346.1793659409988,-4273.568797007231
1953-10-16 11:59:00,-728.5714455986865,-3682.438333979874
1953-11-16 11:59:00,1249.522269421826,-1602.1166488820136
1953-12-16 11:59:00,4848.957936180531,-768.0720135245365
1954-01-16 11:59:00,6452.0619123258975,-771.0463395573474
1954-02-16 11:59:00,6334.595830910515,-101.30883330631575
1954-03-16 11:59:00,6249.196270472411,-270.92890833993897
1954-04-16 11:59:00,6170.560928473826,-807.266052691249
1954-05-16 11:59:00,5228.016826094578,-1384.7129149219725
1954-06-16 11:59:00,3904.3813837663074,-2552.356140980475
1954-07-16 11:59:00,-604.0449808025558,-4930.674130639035
1954-08-16 11:59:00,-23.91356564026079,-4467.447359044001
1954-09-16 11:59:00,-364.3302490545876,-4204.874530615887
1954-10-16 11:59:00,-173.39499336359395,-3454.5427144708574
1954-11-16 11:59:00,1224.9104745681423,-1625.2384074572642
1954-12-16 11:59:00,4875.1022748895775,-767.3063339893688
1955-01-16 11:59:00,6393.805243481865,-750.3274462131908
1955-02-16 11:59:00,6258.311407405929,-116.37172702156974
1955-03-16 11:59:00,6033.120877724676,-196.3303647103665
1955-04-16 11:59:00,6240.077357252206,-761.7241975439593
1955-05-16 11:59:00,5273.83257426046,-1408.584056833002
1955-06-16 11:59:00,4153.894874351579,-2644.684273693387
1955-07-16 11:59:00,-658.304283882593,-4881.04151203423
1955-08-16 11:59:00,-568.6775159234951,-4862.663876845584
1955-09-16 11:59:00,-531.3219660616363,-4494.085026763263
1955-10-16 11:59:00,-922.4937958188641,-3863.1074261553968
1955-11-16 11:59:00,1309.1978449257667,-1575.537705382044
1955-12-16 11:59:00,4808.195971246721,-786.6211418749785
1956-01-16 11:59:00,6364.260031309665,-741.211571612059
1956-02-16 11:59:00,6118.659419633089,-95.2957931308361
1956-03-16 11:59:00,6047.761620976064,-229.42026546914235
1956-04-16 11:59:00,6292.889230887928,-767.3095722365533
1956-05-16 11:59:00,5364.263908516594,-1411.7852378777459
1956-06-16 11:59:00,4485.381176214876,-2628.8713958199514
1956-07-16 11:59:00,-1184.5284066033364,-5221.400371058869
1956-08-16 11:59:00,-466.5593070272576,-4843.140435976626
1956-09-16 11:59:00,-880.8307988562831,-4553.901989222114
1956-10-16 11:59:00,-769.1982228157631,-3877.4294777141354
1956-11-16 11:59:00,965.9399556280948,-1661.1582343461946
1956-12-16 11:59:00,5137.465086312178,-836.2918632717292
1957-01-16 11:59:00,6371.607098188147,-691.9735071832416
1957-02-16 11:59:00,5993.365268937503,10.747336694044193
1957-03-16 11:59:00,5918.841832692002,-128.2626020095287
1957-04-16 11:59:00,5935.714064738069,-663.2249340894829
1957-05-16 11:59:00,5170.007176085132,-1329.225091904512
1957-06-16 11:59:00,4060.492513987794,-2587.2624820106275
1957-07-16 11:59:00,-1740.0939630297908,-5665.502341184668
1957-08-16 11:59:00,-579.1237513395085,-4848.205682858215
1957-09-16 11:59:00,-739.737290432318,-4534.077988441468
1957-10-16 11:59:00,22.59080121946752,-3732.6077482059927
1957-11-16 11:59:00,1784.3352989127054,-2043.465397300244
1957-12-16 11:59:00,5508.586680616955,-1068.069525248558
1958-01-16 11:59:00,6778.734548709161,-839.2930050413802
1958-02-16 11:59:00,6550.343231083429,-143.6723384839345
1958-03-16 11:59:00,5853.548861906383,-189.11674321678157
1958-04-16 11:59:00,5797.108446819058,-655.3730493408085
1958-05-16 11:59:00,5164.755923738227,-1288.6689805454353
1958-06-16 11:59:00,4134.472316509933,-2490.9975549189844
1958-07-16 11:59:00,-1188.5623795517063,-5486.648666288265
1958-08-16 11:59:00,-649.3605613064242,-5055.643363654023
1958-09-16 11:59:00,-603.7797620225838,-4490.004196434696
1958-10-16 11:59:00,525.7454362878842,-3709.2239412135564
1958-11-16 11:59:00,1602.6118194621158,-2005.474501859569
1958-12-16 11:59:00,5696.146009688763,-1098.4705168179578
1959-01-16 11:59:00,6721.979406965962,-818.0393281223916
1959-02-16 11:59:00,6535.834335922781,-147.08143464822754
1959-03-16 11:59:00,6159.184158749836,-218.30825727091266
1959-04-16 11:59:00,6071.7554623044925,-772.827711227785
1959-05-16 11:59:00,5652.285030994948,-1354.226764085917
1959-06-16 11:59:00,4333.349266410827,-2606.0216478157317
1959-07-16 11:59:00,-1320.1734405714737,-5593.960311242296
1959-08-16 11:59:00,-590.4850853105261,-5121.147301899532
1959-09-16 11:59:00,-747.065928599694,-4562.006996411248
1959-10-16 11:59:00,170.62204427924894,-3759.2778129641165
1959-11-16 11:59:00,1787.1393689089957,-1880.5682302268203
1959-12-16 11:59:00,5316.495575404344,-996.8757485085598
1960-01-16 11:59:00,6394.054822476034,-755.1357401620827
1960-02-16 11:59:00,5987.539731559943,-43.97881646599569
1960-03-16 11:59:00,5722.4005551653345,-118.95053970290853
1960-04-16 11:59:00,5740.281910200333,-689.4172259929346
1960-05-16 11:59:00,5031.00911589397,-1326.2844981539442
1960-06-16 11:59:00,4107.283436664915,-2393.8459249416505
1960-07-16 11:59:00,-1860.6834055493891,-5643.518831750384
1960-08-16 11:59:00,-463.1946885106856,-4692.654396456065
1960-09-16 11:59:00,-534.840108592421,-4251.075724767378
1960-10-16 11:59:00,66.1315886403666,-3150.8393671274575
1960-11-16 11:59:00,1446.8504256510764,-1557.9608644381017
1960-12-16 11:59:00,4943.939419195969,-830.3128635314052
1961-01-16 11:59:00,6058.875616170021,-624.5514896641209
1961-02-16 11:59:00,6008.844311878476,-66.86919871626847
1961-03-16 11:59:00,6014.180819455474,-211.0748833576186
1961-04-16 11:59:00,6075.246110855325,-743.19187195323
1961-05-16 11:59:00,4913.174649084035,-1317.3924113410317
1961-06-16 11:59:00,4064.9885872839805,-2335.8565134651494
1961-07-16 11:59:00,-814.6075063119563,-5073.295565600828
1961-08-16 11:59:00,-185.7968987396874,-4619.128472881823
1961-09-16 11:59:00,-564.197791469052,-4310.672875441932
1961-10-16 11:59:00,-280.44409655550635,-3678.389577821573
1961-11-16 11:59:00,1201.5654651960133,-1764.7769752149131
1961-12-16 11:59:00,4843.565723411164,-860.8455402467341
1962-01-16 11:59:00,6026.483984717103,-640.3478613047596
1962-02-16 11:59:00,5544.398658370123,27.458542051495286
1962-03-16 11:59:00,5794.664088874997,-152.99867600558704
1962-04-16 11:59:00,5670.66769083544,-647.7968054671094
1962-05-16 11:59:00,5262.337988677004,-1332.8921090885162
1962-06-16 11:59:00,4340.00830186527,-2314.4872547118825
1962-07-16 11:59:00,89.766072739155,-4491.565227941638
1962-08-16 11:59:00,-37.720807866606435,-4476.755258752071
1962-09-16 11:59:00,-579.7072791563854,-4322.900421979749
1962-10-16 11:59:00,247.9323379359213,-3858.3077630740836
1962-11-16 11:59:00,1827.06323087004,-1769.7923738950835
1962-12-16 11:59:00,5268.867584394974,-908.4785705993957
1963-01-16 11:59:00,6452.92008578982,-772.462086634843
1963-02-16 11:59:00,6038.862682179967,-96.45287399118972
1963-03-16 11:59:00,6127.992505934476,-214.61939130961733
1963-04-16 11:59:00,6241.663243742369,-729.5657297052074
1963-05-16 11:59:00,5274.2137941662695,-1357.0772278901716
1963-06-16 11:59:00,4030.878690596059,-2708.6029632595305
1963-07-16 11:59:00,-751.5252555420324,-5380.608565813178
1963-08-16 11:59:00,-126.46728586721093,-4769.241905958081
1963-09-16 11:59:00,-397.99889898545666,-4374.332434500378
1963-10-16 11:59:00,76.3579413553832,-3823.7175170188857
